name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time,
Adventure Aero Sports Association,12.963583,80.261626,5,adventure&game,2,"NO.305, Palkalai Nagar, Palavakkam",120,
Adventure Aero Sports Association,12.9637439,80.2617798,4.3,adventure&game,40,"No. 305, 8th Cross St, Palkalai Nagar, Palavakkam, Chennai",120,
Adventures India,13.0536743,80.2339281,4,adventure&game,2,"151, Kodambakkam High Rd, Parthsarathy Puram, T. Nagar, Chennai",120,
"Apache adventure camp Head office-forest camping,tent camp,adventure tour camp in chennai",13.0336742,80.2296273,4.2,adventure&game,9,"#2, Police Quarter's Lane, T. Nagar, Chennai",120,
Beach Adventures,12.6839933,80.2156624,4,adventure&game,85,"169/17, ECR, 5km from Crocodile Park, District-Chennai, Pattipulam",120,
Chennai Adventure Club,13.0658532,80.2102307,4.9,adventure&game,20,"2/16 , 1st Floor, Ambalavanar St, Arumbakkam, Chennai",120,
Freeing India,13.0552914,80.2498353,4.3,adventure&game,758,"123, Ispahani Centre, Nungambakkam High Rd, Chennai",120,
Freeing India,12.99624,80.268823,4.4,adventure&game,485,"E21, 16th Cross St, GOCHS Colony, Besant Nagar, Chennai",120,
Fun & Bowling,12.972018,80.220107,3.7,adventure&game,493,"No.137 Grand Mall 3rd Floor, V.O.C Nagar, Doctor Seetaram Nagar, Velachery, Chennai",120,
Fun 2 Play,12.9213642,80.0924279,4,adventure&game,37,"253/1C2B, First floor SSRComplex, Bharathi Nagar, Mudichur Rd, Tambaram West",120,
Fun Park A/c,13.1253228,79.9109969,4.3,adventure&game,4,"149/1, JN Rd, Hariram Nagar, Poonga Nagar, Kakkalur",120,
Fun Ulagam,12.9242093,80.1143513,3.6,adventure&game,232,"3D,Anop Building, Mudichur Road, IOB, West Tambaram, opposite LNC Textiles, Chennai",120,
Heaven Explorer,13.1359352,80.156315,5,adventure&game,4,"5, 1, Ayirankatha Amman Nagar, Oragadam, Chennai",120,
Kart Attack,12.8965339,80.2459793,4.1,adventure&game,0,1217,120,
Kartwheel - Kids Play & Party Zone,13.0025514,80.2552249,4.4,adventure&game,944,"New No.21, Old No.9 Balaram Road, Baktavatsalm Nagar, Adyar, Chennai",120,
Kiddo Castle - Kids Play & Party Zone,12.9306847,80.2315297,4.2,adventure&game,375,"5, Land Mark:, State Highway 49A, 394, Old Mahabalipuram Rd, near Cognizant Technology Solutions, Oggiyamduraipakkam",120,
Kidoos fun park,12.8497859,80.2261861,4.1,adventure&game,77,"OMR food street, near AGS cinemas, Chennai, Navalur",120,
MAGIC Thrills & Adventures (P) Limited,12.7090085,80.2248995,4.2,adventure&game,33,"#451A, East Coast Road, Nemmeli Village, Thiruporur",120,
Monkey Monk,12.6816423,80.2192844,4,adventure&game,265,"No. 109, ECR Road, Pattipulam, Village, Chennai",120,
MOOSAA LAND,12.8492316,80.2258376,4,adventure&game,171,"92, Old Mahabalipuram Rd, Thirumalai Nagar Annexe, Navalur",120,
Moosaland,13.0846146,80.1698676,4.3,adventure&game,38,"1/C1, Kamarajar Salai, Mogappair West, Padmavati Nagar, Virugambakkam, Chennai",120,
Mudstacle Run,12.8725495,80.199568,3.6,adventure&game,5,"Karanai Main Rd, Ottiambakkam, Chennai",120,
Mystery Rooms Chennai,13.0677954,80.2472212,4.5,adventure&game,759,"#24, 2nd Flr (Above Kora), BBCL Magnum, College Rd, Nungambakkam, Chennai",120,
Off Road Sports,12.6816312,80.2146213,3.8,adventure&game,348,"168/3D, Pattipulam, East Cost Road, 2kms from Dolphin city, Chennai",120,
Planet Adventure Paintball,12.9727277,80.2659384,3.8,adventure&game,437,"Shri, Krishna Enclave, No.8, Water Land Dr Rd, Kottivakkam, Chennai",120,
Planet Adventure's Jus' Play,12.9723688,80.2656251,4,adventure&game,1,"No.8, Shri Krishna Enclave, Kottivakkam Beach, Near Bella Ciao, Water Land Dr Rd, Kaveri Nagar, Chennai",120,
Pleeease Mom,13.0586471,80.2646672,3.6,adventure&game,68,"2, Club House Rd, Express Estate, Royapettah, Chennai",120,
Snow Kingdom (Chennai),12.9131665,80.25118,4.6,adventure&game,16160,"SH 49, next to VGP Universal Kingdom, Injambakkam, Chennai",120,
Wild Tribe Ranch,12.7339119,80.2348233,3.6,adventure&game,401,Nemmeli,120,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"3, Palm Garden Rd, Akkarai, Injambakkam, Chennai"
