name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time,,,,,,,,,,,,,,,
Advent Christian Church Sholinganallur,12.8895107,80.2307997,4.3,church,22,"Sathyavani Muthu St, Sholinganallur, Chennai",60,,,,,,,,,,,,,,,
AFC Church,13.0787758,80.1777729,3,church,2,"No 1, 37, Church Road, Panneer Nagar, Mogappair East, Chennai",60,,,,,,,,,,,,,,,
Apostolic Faith Church,13.0804599,80.1799436,4.5,church,76,"No 1, 37, Church Road, Panneer Nagar, Mogappair East, Mogappair, Chennai",60,,,,,,,,,,,,,,,
Ascension Church,13.068474,80.2229408,4.5,church,272,"23, 4th St, Railway Colony, Aminjikarai, Chennai",60,,,,,,,,,,,,,,,
Christ Church,13.06605,80.269964,4.3,church,16,"no 55, 56, Anna Salai, Border Thottam, Padupakkam, Triplicane, Chennai",60,,,,,,,,,,,,,,,
Church Of The Good Shepherd (CSI),13.0449625,80.2605762,4.5,church,187,"67, Dr Radha Krishnan Salai, CIT Colony, Mylapore, Chennai",60,,,,,,,,,,,,,,,
CSI Church Of Saint John The Baptist,13.0755799,80.2634291,4.4,church,46,"No.497, Pantheon Road, Egmore, Chennai",60,,,,,,,,,,,,,,,
CSI Emmanuel Church,13.0926853,80.203083,4.6,church,55,"35, Church Street, Anna Nagar West, Thangam Colony, Anna Nagar, Chennai",60,,,,,,,,,,,,,,,
CSI St. Paul's Church,12.9128308,80.0704274,3.9,church,54,"Mudichur Rd, Mudichur",60,,,,,,,,,,,,,,,
CSI Wesley English Church,13.0075987,80.1956597,4.6,church,115,"4/2, St. Patrick's Church Road, St. Thomas Mount, Chennai",60,,,,,,,,,,,,,,,
Emmanuel Methodist Church,13.0866534,80.2596398,4.6,church,162,"48-50, Jeremiah Rd, Vepery, Periyamet, Chennai",60,,,,,,,,,,,,,,,
Faith Christian Church,13.065849,80.1885814,4.4,church,25,"No.2 A, Madha Koil Street, Nerkundrum Main Rd, Nerkundram, Chennai",60,,,,,,,,,,,,,,,
Holy Cross Church,13.0332477,80.2396028,4.6,church,97,"90/24, Venkatanarayana Rd, Parthasarathi Puram, T. Nagar, Chennai",60,,,,,,,,,,,,,,,
Holy trinity church,13.076042,80.1834831,4.5,church,150,"Golden George Nagar, Nerkundram, Chennai",60,,,,,,,,,,,,,,,
Hope AG Church,12.9270059,80.1991174,4.6,church,130,"1, Velachery Road, Medavakkam, Chennai",60,,,,,,,,,,,,,,,
Infant Jesus Church,12.972995,80.060032,4.3,church,10,"Kuzandaiyesu Nagar Church Street, Periyar Colony, Nandambakkam, Sirukalathur",60,,,,,,,,,,,,,,,
Our Lady of Good Health Church,12.8908046,80.1949909,4.8,church,16,"Perumbakkam, Chennai",60,,,,,,,,,,,,,,,
Our Lady of Light Shrine (Luz Church),13.038147,80.2624346,4.7,church,554,"156, Luz Church Rd, CIT Colony, Mylapore, Chennai",60,,,,,,,,,,,,,,,
OUR SAVIOUR CHURCH - OSC,13.0370465,80.1228336,5,church,11,"OSC CHURCH, No. 35, 3rd west OSC church street, Chendurpuram, Indira Nagar, Kattupakkam, Chennai",60,,,,,,,,,,,,,,,
Pallavaram Church of CHRIST,12.9677284,80.1480046,3.5,church,4,"111, Mariamman Koil St, Periyar Nagar, Pallavaram, Chennai",60,,,,,,,,,,,,,,,
Rose of Sharon AG church,13.055462,80.2298854,4.6,church,175,"18, Zachariah Colony 2nd St, Minor Trustpuram, Choolaimedu, Chennai",60,,,,,,,,,,,,,,,
Santhome Cathedral Basilica,13.033569,80.277822,4.7,church,9117,"38, Santhome High Rd, Dummingkuppam, Mylapore, Chennai",60,,,,,,,,,,,,,,,
St Mathew's CSI Church,13.0343407,80.1535647,4.7,church,81,"8, CSI Church St, Jaya Nagar, Porur, Chennai",60,,,,,,,,,,,,,,,
St. Andrew's Church (The Kirk),13.0795797,80.2640622,4.7,church,367,"Opp Daily Thanthi, #37, Poonamallee High Rd, Egmore, Chennai",60,,,,,,,,,,,,,,,
St. Antony's Church,12.8674496,80.064205,4.5,church,68,"RC Church Street, PO, Velmurugan Nagar, Annai Anjugam Nagar, Urapakkam, West",60,,,,,,,,,,,,,,,
St. Pius Church,12.9639193,80.2442127,4.6,church,149,"Church Rd, Ramappa Nagar, Kandancavadi, Perungudi, Chennai",60,,,,,,,,,,,,,,,church
St. Thomas Evangelical Church of India,13.079875,80.197834,4.6,church,26,"36, Pillaiyar Koil St, Anna Nagar West, Koyambedu, Chennai",60,,,,,,,,,,,,,,,
St. Thomas' Garrison Church,13.0024034,80.1961558,4.6,church,304,"#1, Great Southern Trunk Rd, Mathas Nagar, St.Thomas Mount",60,,,,,,,,,,,,,,,church
The Church of Jesus Christ of Latter-Day Saints,13.0148364,80.2264059,4.5,church,84,"Old No. 8, New No. 23, Taluk Office Rd, Little Mount, Saidapet, Chennai",60,,,,,,,,,,,,,,,church
The Church Of Jesus Christ Of Latter-Days Saints,13.0850726,80.2127487,5,church,19,"74/223, 2nd Ave, Block Y, Y Block, Anna Nagar, Chennai",60,,,,,,,,,,,,,,,
