name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
10 Square Mall,13.0704245,80.2027604,3.6,shopping_mall,425,"Ten Square Mall, SH 2, Koyambedu, Chennai",180
Abirami Mega Mall,13.0861507,80.2480438,3.8,shopping_mall,11466,"152, Purasawalkam High Rd, Lumbini Square, Purasaiwakkam, Chennai",180
Alsa Mall,13.0686817,80.2572632,3.8,shopping_mall,5337,"Montieth Road, Egmore, Chennai",180
Ampa Skywalk,13.0734711,80.2214432,4.1,shopping_mall,41097,"No:1, Nelson Manickam Road, 627, Poonamalee High Road, Aminjikarai, Chennai",180
Bergamo Mall,13.0607902,80.251193,4.1,shopping_mall,1498,"5/3, Khadar Navazkhan Road, Thousand Lights West, Thousand Lights, Chennai",180
BMR Mall,12.8432745,80.2271694,3.7,shopping_mall,703,Navalur,180
Challa Mall,13.0398658,80.242849,3.6,shopping_mall,996,"43, 25, Sir Theagaraya Rd, Parthasarathi Puram, T. Nagar, Chennai",180
Chandra Metro Mall,13.046769,80.1903895,4,shopping_mall,6431,"262, Arcot Rd, Near D Mart, Rajeswari Colony, Virugambakkam, Chennai",180
Express Avenue,13.0584546,80.2641844,4.4,shopping_mall,76793,"17, Pattullos Rd, Express Estate, Thousand Lights, Chennai",180
Forum Vijaya Mall,13.0498937,80.2095018,4.4,shopping_mall,80664,"183, Arcot Rd, Vadapalani, Chennai",180
Gemini Mall,13.0460756,80.2020055,3.7,shopping_mall,3,"Bharani Colony, Vijayaraghavapuram, Saligramam, Chennai",180
Gold Souk Grande,12.8767197,80.0796273,2.8,shopping_mall,80,"Chennai - Theni Hwy, Peerakankaranai",180
Grand Square,12.9719922,80.2201966,4,shopping_mall,25701,"137, Velachery - Tambaram Main Rd, V.O.C Nagar, Doctor Seetaram Nagar, Velachery, Chennai",180
LooLU SHOPPING CENTRE,13.0960205,80.2910357,4.4,shopping_mall,9,"2/3, Mannady Street, Mannady, George Town, Chennai",180
Phoenix Marketcity,12.9904673,80.2169764,4.5,shopping_mall,84947,"142, Velachery Main Rd, Indira Gandhi Nagar, Velachery, Chennai",180
Ramee Mall,13.0428226,80.2486156,3.8,shopping_mall,4708,"365, Annai Salai, Poes Road, Subbarayan Nagar, Teynampet, Chennai, Tamil Nadu 600018, India, Chennai",180
Shopping Mall,12.9680037,80.1831264,4,shopping_mall,1,"Moovarasanpet, Bharathiyar Nagar, Keelkattalai, Chennai",180
Spectrum The Grand Venus Mall,13.1122705,80.2363842,4,shopping_mall,9931,"114, A, 114 B , 3rd floor, Paper Mills Road, Gopal Colony, Perambur, Chennai",180
Spencer Plaza Mall,13.0615102,80.2614606,3.9,shopping_mall,20619,"768-769, Anna Salai, Chennai",180
THE MARINA MALL,12.8360379,80.2293307,4.3,shopping_mall,15223,"Old Mahabalipuram Rd, Egattur",180
VIVIRA MALL,12.8504319,80.2262178,4,shopping_mall,7128,"33, Old Mahabalipuram Rd, Navalur",180
VR Chennai,13.0805465,80.197132,4.5,shopping_mall,45040,"Inner Ring Rd, Thirumangalam, Anna Nagar, Chennai",180
S Mall,13.0274084,80.2636165,3.8,shopping_mall,10,"No.2, 3, Devanathan St, Trustpakkam, Mandaveli, Chennai",180
Krishna Shopping Mall,12.9749172,80.2441681,4.1,shopping_mall,306,"Omr Food Street, No. 10, 2nd Gate, MGR Main Rd, Kandancavadi, Perungudi, Chennai",180
Yuvaraj Mall,12.8402931,79.7035894,0,shopping_mall,0,"Periya, Kanchipuram",180
