name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
Amma Park,13.175975,80.204503,3.6,park,39,"Grant Lyon, Red Hills, Payasambakkam",60
Assisi Nagar Park,13.162469,80.2328442,4.7,park,7,"9th St, Assisi Nagar, Madhavaram, Chennai",60
Baby Nagar Park,12.9791078,80.2290039,3.5,park,410,"2nd Main Rd, Baby Nagar, Velachery, Chennai",60
Birla Avenue Park,13.1448167,80.2007981,4,park,167,"Surapet Main Rd, Iyappa Nagar Extension, Padmavathi Nagar, Puzhal, Chennai",60
Chennai Corporation Children's Park,12.9837322,80.2169678,3,park,33,"Ward No. 177, Zone. 40A, 2nd Main Rd, Gangai Nagar, Velachery, Chennai",60
Chennai Corporation Children's Park,12.9837988,80.2281936,4,park,30,"Shanthi 1st Cross St, VGP Seethapathy Nagar, Velachery, Chennai",60
Chennai Corporation Park,13.0890553,80.1931069,4.1,park,114,"Block No. 49A, Theravidam, Park Street, Welcome Colony, Anna Nagar West Extension, Chennai",60
Chennai Corporation Park,13.0956878,80.2573608,3.5,park,68,"Ward 176, Part 17, Park St, Pattalam, Conran Smith Nagar, Ethiraj Gardens, Purasaiwakkam, Chennai",60
Chennai Municipality Park,13.1238889,80.2004263,3.9,park,53,"Santhosh Nagar, Lakshmipuram, Chennai",60
Chennai Snake Park Trust,13.004233,80.2386284,4.1,zoo,5862,"Raj Bhavan post, Guindy, Chennai",60
Children's Park- Adambakkam,12.9846384,80.2047751,4,park,116,"zone.40.a, Ward No.177, Mandalam, Mahalakshmi Nagar, Adambakkam, 600088, 13, 1st Cross St, Lakshmi Nagar, Velachery, Chennai",60
Collector nagar Park,13.1490231,80.2005403,4,park,158,"2, Collector Nagar St, INTUC Nagar, Puzhal, Kadirvedu",60
Community Park,13.1236241,79.9206072,3.9,park,228,"Old NGGO Colony, Thiruvallur",60
Corporation Park,13.0304888,80.2157029,4.1,park,127,"12th Ave, Ragavan Colony, Mettuppalayam, Ashok Nagar, Chennai",60
Corporation Park,12.9950976,80.2665862,3.8,park,152,"Anna Colony, Besant Nagar, Chennai",60
Corporation Park,13.0272124,80.2448538,3.9,park,224,"7, Turnbulls Rd, Boat Club Area, Nandanam, Chennai",60
Corporation Park,12.9759144,80.2178486,3.4,park,36,"1st, Main Rd, BHEL Shakthi Nagar, Devi Karumariamman Nagar Extension, Velachery, Chennai",60
Corporation Park,12.9776329,80.2099875,4,park,152,"10, 4th Cross St, AGS Colony, Velachery, Chennai",60
Corporation park,12.9775986,80.2089722,4.6,park,140,"5th St, Saraswathi Nagar, AGS Colony, Adambakkam, Chennai",60
Dhandeeswaram park,12.9830709,80.2219467,3.7,park,122,"Velachery Bypass Road, No.74-A, Velachery Main Rd, Ram Nagar, Dhadeswaram Nagar, Velachery, Chennai",60
Gandhi Childrens Park,12.8528776,80.0647917,4,park,102,"11, NCK Avenure, Guduvanchery",60
Government Park,12.9907615,80.2173863,4.7,park,22,"Indira Gandhi Nagar, Velachery, Chennai",60
Guindy National Park,13.0049251,80.2378725,4.1,tourist_attraction,17061,"Rangeguindy, Chennai",60
Kids Park,12.981124,80.2214566,3.9,park,72,"Velachery Main Rd, Dhandeeswaram, Velachery, Chennai",60
Madhavaram Tree Park,13.1601854,80.2413147,4.3,park,85,"MMC Aavin Quarters, Madhavaram Milk Colony, Chennai",60
Millennium Park,13.094472,80.1920398,4.1,park,1852,"Park Rd, ONGC Housing, Anna Nagar West Extension, Chennai",60
Municipality Park,12.9543849,80.1434579,4.1,park,152,"Station Border Rd, Lakshmi Nagar, Shanthi Nagar, Chromepet, Chennai",60
Municipality Park,12.9741024,80.213953,3.8,park,35,"1st St, Srinivasa Nagar Extension, Ram Nagar, Velachery, Chennai",60
