name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
Amman Temple,12.9746792,80.1905608,4.8,hindu_temple,8,"2nd St, Balaji Nagar, Nanganallur, Chennai",60
Amman Temple,12.9655473,80.1702404,4.7,hindu_temple,7,"Sangavi Salai, Rajiv Gandhi Nagar, Pallavaram, Chennai",60
Arthanareeswarar Temple,12.984983,80.1883267,4.7,hindu_temple,1097,"4th Main Rd, Nanganallur, Chennai",60
Arulmigu Karaneeswarar Temple,13.02476,80.2231759,4.7,hindu_temple,3103,"1, Karaneeswarar Koil St, Suriyammapet, Saidapet, Chennai",60
Arulmigu Marundeeswarar Temple,12.9848721,80.2605869,4.7,hindu_temple,6591,"8, W Tank St, Lalitha Nagar, Thiruvanmiyur, Chennai",60
Arulmigu Maruntheeswarar Temple,12.7778037,79.9913814,4.7,hindu_temple,101,"Bharathiya Street, Thirukkachur, Kattankulathur",60
Arulmigu Ramar temple,13.0057564,80.2435513,4.2,hindu_temple,71,"2nd Street, Sriram Nagar, Tharamani, Chennai",60
Arulmigu Sri Parthasarathyswamy Temple,13.0538886,80.2770111,4.7,hindu_temple,13470,"Narayana Krishnaraja Puram, Triplicane, Chennai",60
Arulmigu Thiyagarajaswamy Temple,13.1614504,80.2995869,4.7,hindu_temple,2885,"Sannathi St, Gopal Nagar, Tiruvottiyur, Chennai",60
Ayyappan Temple,13.0189951,80.2681172,4.8,hindu_temple,2406,"82, Santhome Hwy Road, MRC Nagar, Raja Annamalai Puram, Chennai",60
Dhandeeswaram temple,12.9858183,80.2238753,4.6,hindu_temple,254,"1st Ave, Karunabigai Colony, Velachery, Chennai",60
Dharmalingeshwarar Temple,12.971563,80.186374,4.7,hindu_temple,301,"voltas colony main road, 50 ft road, Eswaran Colony, MMTC Colony, Nanganallur, Chennai",60
Ellaiyamman Temple,12.9701497,80.2370267,4.7,hindu_temple,10,"Ambedkar Nagar, Perungudi, Chennai",60
Ganesh Temple,13.0003312,80.2519063,4.7,hindu_temple,6,"60/56, Kasturba Nagar 3rd Cross St, Venkata Rathnam Nagar Extension, Venkata Rathinam Nagar, Adyar, Chennai",60
ganesha Temple,13.0249938,80.2592173,4.7,hindu_temple,7,"Chennai, Ramakrishna Nagar, Raja Annamalai Puram, Chennai",60
Gangadeeswarar Temple,13.0306667,80.1785053,4.2,hindu_temple,49,"Bajanai Kovil St, Mullai Nagar, Ramapuram, Chennai",60
Hrudayaaleeswarar Temple,13.1119451,80.0281219,4.8,hindu_temple,360,Thiruninravur,60
ISKCON,12.9061719,80.2418253,4.6,hindu_temple,10858,"Bhakti Vedanta Swami Road, Off ECR, Akkarai, Sholinganallur, Chennai",60
Jalakanteswarar Temple,13.001974,80.2417176,4.7,hindu_temple,198,"Delhi Ave, Indian Institute Of Technology, Chennai",60
Karapakkam Shivan Temple,12.9138419,80.2296553,4.6,hindu_temple,371,"Old Mahabalipuram Rd, Near Karapakkam Bus Stop, Karappakam, Chennai",60
Lord Nandheeswarar Temple,12.9946438,80.2004915,4.6,hindu_temple,201,"Pedestrian Overpass, TNGO Colony, Adambakkam, Chennai",60
Mangaleeshwarar Temple,13.0773796,80.2115161,4.2,hindu_temple,34,"782/464, National Highway 48, Arumbakkam, Chennai",60
Nagamariyamman Temple,13.0112652,80.2540296,0,hindu_temple,0,"1st Cres Park Rd, Gandhi Nagar, Adyar, Chennai",60
Raja Rajeshwari Temple,12.9895563,80.1916619,4.7,hindu_temple,334,"18th St, Thillaiganga Nagar, Nanganallur, Chennai",60
Sai Baba Temple,12.9989447,80.2071054,4.6,hindu_temple,36,"47, Link Rd, State Bank Colony, Guindy, Chennai",60
Selli Amman Temple Pond,12.9591575,80.1825371,4.5,hindu_temple,2,"Selli amman temple, Anbu Nagar, Keelkattalai, Chennai",60
